slot,name,canonical,sprite_required,portrait_required,sprite_entirely_absent,sprite_incomplete_upstream,missing_required_portraits,missing_reverse_portraits,coordination_required,production_state
0000/0010/0001,Missingno_ / Warabbit / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0011,Missingno_ / Norowara,False,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0011/0001,Missingno_ / Norowara / Shiny,False,True,True,True,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0012,Missingno_ / Turban,False,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0012/0001,Missingno_ / Turban / Shiny,False,True,True,True,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0013,Missingno_ / Browt,False,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0013/0001,Missingno_ / Browt / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0014,Missingno_ / Pombon,False,True,True,False,True,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0014/0001,Missingno_ / Pombon / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0000/0015,Missingno_ / Gecqua,False,True,True,True,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0000/0015/0001,Missingno_ / Gecqua / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0001,Bulbasaur,True,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0001/0000,Bulbasaur,True,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0001/0000/0001,Bulbasaur / Shiny,True,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0001/0001,Bulbasaur / Altcolor,False,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0001/0001/0001,Bulbasaur / Altcolor / Shiny,False,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0002,Ivysaur,True,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0002/0000,Ivysaur,True,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0002/0000/0001,Ivysaur / Shiny,True,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0002/0001,Ivysaur / Altcolor,False,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0002/0001/0001,Ivysaur / Altcolor / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0003,Venusaur,True,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0000,Venusaur,True,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0003/0000/0000,Venusaur,True,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0003/0000/0000/0002,Venusaur / Female,True,True,False,False,True,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0000/0001,Venusaur / Shiny,True,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0000/0001/0002,Venusaur / Shiny / Female,True,True,False,False,True,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0001,Venusaur / Mega,True,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0001/0001,Venusaur / Mega / Shiny,True,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0002,Venusaur / Gigantamax,True,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0002/0001,Venusaur / Gigantamax / Shiny,True,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0003,Venusaur / Alternate,False,True,True,False,True,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0003/0001,Venusaur / Alternate / Shiny,False,False,True,False,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0003/0003/0001/0002,Venusaur / Alternate / Shiny / Female,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0003/0003/0000,Venusaur / Alternate,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0003/0003/0000/0002,Venusaur / Alternate / Female,False,True,False,False,True,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0004,Charmander,True,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0004/0000,Charmander,True,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0004/0000/0001,Charmander / Shiny,True,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0004/0001,Charmander / Altcolor,False,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0004/0001/0001,Charmander / Altcolor / Shiny,False,True,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0005,Charmeleon,True,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0005/0000,Charmeleon,True,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0005/0000/0001,Charmeleon / Shiny,True,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0005/0001,Charmeleon / Altcolor,False,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0005/0001/0001,Charmeleon / Altcolor / Shiny,False,True,True,False,False,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0006,Charizard,True,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0000,Charizard,True,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
0006/0000/0001,Charizard / Shiny,True,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0001,Charizard / Mega_X,True,True,True,False,True,Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0001/0001,Charizard / Mega_X / Shiny,True,True,True,False,True,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0002,Charizard / Mega_Y,True,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0002/0001,Charizard / Mega_Y / Shiny,True,True,True,True,False,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0003,Charizard / Gigantamax,True,True,True,False,True,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0003/0001,Charizard / Gigantamax / Shiny,True,True,True,False,True,Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0004,Charizard / Altcolor,False,True,True,False,True,,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,to_produce
0006/0004/0001,Charizard / Altcolor / Shiny,False,False,False,False,False,Normal;Happy;Pain;Angry;Worried;Sad;Crying;Shouting;Teary-Eyed;Determined;Joyous;Inspired;Surprised;Dizzy;Sigh;Stunned,Normal^;Happy^;Pain^;Angry^;Worried^;Sad^;Crying^;Shouting^;Teary-Eyed^;Determined^;Joyous^;Inspired^;Surprised^;Dizzy^;Sigh^;Stunned^,False,no_core_gap_detected
